Contract Address,LoSC,Functions,CFG Percentage (Original),CFG Build Time (Original),CFG Percentage (Elysium),CFG Build Time (Elysium),Free Storage Location (Elysium),Free Storage Location (solc)
0x70fce97d671e81080ca3ab4cc7a59aac2e117137,27,1,100.0,0.0042150020599365234,100.0,0.0011937618255615234,1,1,True
0xb3328e022586b768fa50914ee6509391c27ad636,19,1,100.0,0.003317117691040039,100.0,0.001497030258178711,2,2,True
0x438ca770d0f79085fe7f21ba9e40a83e4feff77a,19,1,100.0,0.0038909912109375,100.0,0.0012171268463134766,2,2,True
0xe851048c101abbdac26615c44dcec4c051864125,107,21,77.8688524590164,10.69544529914856,92.62295081967213,10.49170994758606,2,2,True
0x24d1adb297f2cb3e8bf487ac27cc5aea5ce88d0b,27,1,100.0,0.0030667781829833984,100.0,0.0026178359985351562,1,1,True
0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,27,1,100.0,0.0039980411529541016,100.0,0.0021941661834716797,1,1,True
0x55f4fd6c9062a9cd0110ead0b38b6080ee33c7fc,223,27,65.26946107784431,1.7836108207702637,95.80838323353294,6.615700960159302,9,9,True
0x2517c251c8edd3e6977051e6bb86cc7876d07667,27,1,100.0,0.0029370784759521484,100.0,0.0013549327850341797,1,1,True
0x723afe263831bcb56da4061896b7489d47781877,27,1,100.0,0.0029587745666503906,100.0,0.0012409687042236328,1,1,True
0x6f38ba257f202ccfba9fc22c50d958508d8232a5,27,1,100.0,0.002888917922973633,100.0,0.001432180404663086,1,1,True
0xa1d65e8fb6e87b60feccbc582f7f97804b725521,118,17,100.0,5.8020339012146,100.0,5.515243053436279,0,0,True
0x6decd32f5a2ab9b43bc6ad8923eb6d2395de145b,27,1,100.0,0.002908945083618164,100.0,0.0014319419860839844,1,1,True
0x860a80d33e85e97888f1f0c75c6e5bbd60b48da9,27,1,100.0,0.003204822540283203,100.0,0.002396106719970703,1,1,True
0xe61dd9ca7364225afbfb79e15ad33864424e6ae4,539,65,76.171875,65.54357695579529,99.609375,88.80891013145447,11,11,True
0xd4686214d58225f162ddec90d9fbf4e045f8e3f3,27,1,100.0,0.005460977554321289,100.0,0.0024788379669189453,1,1,True
0x9a016ce184a22dbf6c17daa59eb7d3140dbd1c54,1080,79,51.526717557251914,15.839102029800415,75.19083969465649,88.31826210021973,6,6,True
0x418a0b7c33b0424965ffa0f920945cd4cf7b5670,98,10,100.0,0.004628896713256836,100.0,0.004435062408447266,1,1,True
0x8180d59b7175d4064bdfa8138a58e9babffda44a,27,1,100.0,0.0027840137481689453,100.0,0.0012159347534179688,1,1,True
0x728ee922e3393fce0fb0fbfcd3185cf9fec51de2,27,1,100.0,0.003515958786010742,100.0,0.0015549659729003906,1,1,True
0x5bdaf111601f62e2788127e55b23946bb49a936c,98,10,100.0,0.004166841506958008,100.0,0.0036067962646484375,1,1,True
0xd52306eabc2be4e2dc8fbd1f929ac73008430f3f,27,1,100.0,0.004662752151489258,100.0,0.002214193344116211,1,1,True
0xdd2a08a1c1a28c1a571e098914ca10f2877d9c97,27,1,100.0,0.0029702186584472656,100.0,0.0015392303466796875,1,1,True
0xf0f266f7a481a15607b11d171760d96dcc16e4ed,27,1,100.0,0.0037031173706054688,100.0,0.002652883529663086,1,1,True
0x64258a72f6970e0a227f61a0ad337eba881d0b6e,19,1,100.0,0.0027489662170410156,100.0,0.0015718936920166016,2,2,True
0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,373,67,64.84517304189436,0.352644681930542,83.7887067395264,47.02446627616882,14,14,True
0xf786c34106762ab4eeb45a51b42a62470e9d5332,348,57,72.6829268292683,50.84638476371765,85.36585365853658,124.87519693374634,12,12,True
0x57608aafd4b21c608427ac89794fbdc33037c1cd,27,1,100.0,0.006530046463012695,100.0,0.0013539791107177734,1,1,True
0xe05268f9030a81871e2b91b29a296855076894eb,98,10,100.0,0.006775856018066406,100.0,0.004171133041381836,1,1,True
0x3fd8462e467708e5d1dd4ad6becf4058d4ccbd8d,27,1,100.0,0.005361795425415039,100.0,0.0012936592102050781,1,1,True
0x0184670b561ce2a85c97b11b06116c2b0a044663,98,10,100.0,0.00479578971862793,100.0,0.0034151077270507812,1,1,True
0x4039e1c58b27298d92e69d5bf215378e4f8544a5,27,1,100.0,0.002947092056274414,100.0,0.0020189285278320312,1,1,True
0xee7ad892fdf8d95223d7e94e4ff42e9d0cfecafa,98,10,100.0,0.0025589466094970703,100.0,0.003740072250366211,1,1,True
0xc6d4ab7043f59dd9bfac40ebe10eecdc2b95ab08,27,1,100.0,0.004389286041259766,100.0,0.0025300979614257812,1,1,True
0x91d65caf4b9562779e39a30ea492bd4b02a9acbb,27,1,100.0,0.00493311882019043,100.0,0.0026831626892089844,1,1,True
0x3e3c08a8c022b0fd7b90765a712885e3d5cca842,27,1,100.0,0.002796649932861328,100.0,0.0013828277587890625,1,1,True
0xaae014af95d811ad7dbff60209e74551a338f64c,27,1,100.0,0.004734992980957031,100.0,0.0021240711212158203,1,1,True
0x8b4334d4812c530574bd4f2763fcd22de94a969b,27,1,100.0,0.004795074462890625,100.0,0.002115964889526367,1,1,True
0x022609207888652fafc17a5e1304c1beecd35530,27,1,100.0,0.002875804901123047,100.0,0.0012869834899902344,1,1,True
0x0feccb11c5b61b3922c511d0f002c0b72d770dce,1206,146,93.19444444444444,130.791766166687,96.52777777777779,124.03362798690796,25,25,True
0xa4e9f9415c915597211d5db194e66712c891cb98,27,1,100.0,0.007500648498535156,100.0,0.001524209976196289,1,1,True
0x905903850117d1599df38dcd7392114fdacc15ef,98,10,100.0,0.0031518936157226562,100.0,0.0029840469360351562,1,1,True
0x690f0581ececcf8389c223170778cd9d029606f2,27,1,100.0,0.003001689910888672,100.0,0.0012481212615966797,1,1,True
