Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas Used, Error)","SmartShield (Success, Gas Used, Error)","Elysium (Success, Gas Used, Error)"
0xc3c66394b3484dfba55da79eacdd3c96f961bef980c8eeffc6e54d070b09a811,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x9c82ec8965b7cd6c27214180783fc0340ee79788c3dbd2853d6ee54e96169188,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xf8ab76635d0da968c678cce007b9cd335c2cf45eb85b495937801003d577c35b,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x445c2a95f17da9562991684ce2dbe2354702598a2bbbdcc963720ff966ba5ce0,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xcf13db956bbbc2cebf9c873609b8ea665da3daa1619d101fa99ac345c3e16a21,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x0435b5302218f796abcd64345f62839a72ca7b857622faebdb88080ad9cfc2f5,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x17dc104d1bd620643601498c9b2cb87f902b104516c283aa43e44fe88950f62a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc5951fe3639b6e87e07ea999252b2e9d70f4a28211f997bb233426461915bb10,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xf4bea22baac63890665e637e615847d9507afbb6a2b6cb464b102ea9f434a38d,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x3cb3948cf67907bac5aed4cd9cd2a3977e6cb5acf6551eabe75904e5130ef57d,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xd9bed9c88009ff61b86570965dc2c4e0e25bc2c69bd1ab45f8aa45c7fc348164,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2c5c316004fd87056678efc9c28839f195243d64d0c9618a025029291e3ab259,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
