Contract Address,Transaction Hash,Original Gas Used,"SmartShield (Success, Gas Used, Error Message)","Elysium (Success, Gas Used, Error Message)"
0xe8ebb13902a7ab342163d2a241c1e4891798b56f,0xab611c7fc32dd30d2495544e3beb0f8b9d48a61b45649ea21dce6e0fbd03d719,1498,"(True, 1498, None)","(True, 1498, None)"
0x54f0fa75f13d2dd521e954adb3ba208611250f65,0x2e39919026038b73856b2b9f9c8e34fd01fc6377259ea95cc1ae38b47b8b5080,1498,"(True, 1498, None)","(True, 1498, None)"
0x3d5ef5bc2455f374a255bf59adb2b32b89852b5a,0x9ce3331b18af47a8038ccb737b19fbc1653e33f6a0ddbccf93d5aa515f233bdf,1498,"(True, 1498, None)","(True, 1498, None)"
0x8d2ee01dd9e947067fda69e3b62064556a92d1c8,0x63d7f5bf25bb22d27bb9b4ecab28e71e89eb746e0a089f5bc03c1d5b9ba146f6,1498,"(True, 1498, None)","(True, 1498, None)"
0xb52284ffe2560aae7b4b61a4fd079d9ca8a8aeac,0x256d9ac118ef84145c9d6f7d8b1f1f4d6dcceca9cb9b89328cd47ac148ece441,1498,"(True, 1498, None)","(True, 1498, None)"
0x37796f835caa5ff3fa4fcc8327853bcde0b3d5f4,0xc13676043db2b5e41326e2679a3cb4508c476c518178c8c60959bf25eb989a2d,1498,"(True, 1498, None)","(True, 1498, None)"
0x4d6eb94205ed1ff9d0a20bfaaec2e8c196cf0908,0x058dfbd2172febe0cface312074d8330bf6971b1cf2429c55c23c53996dca89f,1498,"(True, 1498, None)","(True, 1498, None)"
0x8ca62efdc496a0a1f5a76df4833519005c0da16b,0xf91774286ee5194aff9bb65601d4bfc7d9c77abf3a8c297a1e81494916adb79b,1498,"(True, 1498, None)","(True, 1498, None)"
0x6a45c0ac25b9e6e4b07d9a37fca6de56766872aa,0xa8d934d9e388c151a01d4ddd98379e6a191eaee4334a0ed697f43bc4d944e196,1498,"(True, 1498, None)","(True, 1498, None)"
0xa6ae6a5d2853262a3f591043ea63d4b06940ef0f,0xa341038ad160ffb07663e5a161fcce7ec0ce8ddf79e3975611c043f2d75c4aa9,1498,"(True, 1498, None)","(True, 1498, None)"
0x64ac37c60a0d16aed4e48f27fc8a7c78b839e9ca,0xa87bf852f87bd03731cbfa9343d665683aabf3cedbb5fb6363574425ea587b91,1498,"(True, 1498, None)","(True, 1498, None)"
0x3b135dbf827508d8ed170548f157bdcd2dc857d3,0xa33b0d63d6e20265da6e41aeac1034e14bfbe451a017e5936df0c62b6dc85996,1498,"(True, 1498, None)","(True, 1498, None)"
0xd2a8e16af2bb255de1b9d0c3cd3ef798b6e94a5c,0x340907ab1fa1a652b57454cc93f444e20555e132a5540373d88c69aeb6bfd7c5,1498,"(True, 1498, None)","(True, 1498, None)"
0xd4d2a4b571109ad1397e953ab87d6e5feed031b2,0x4a4ef694c16e1a4c48695ad2f89ffebddb5c0cb350b7bd1789dc26fce2835d8b,1498,"(True, 1498, None)","(True, 1498, None)"
0x700f39cdb7a27bc63adcff51415939a2e6836e3e,0x45626cc899f0ba9d3f4ce992d2fb2a5ca5660346edbaf0756f314a04880ddf83,1498,"(True, 1498, None)","(True, 1498, None)"
